Date,Open,High,Low,Close,Adj Close,Volume
2019-06-28,145.82000732421875,146.92999267578125,144.6999969482422,145.16000366210938,140.30284118652344,1383500
2019-07-01,147.55999755859375,148.49000549316406,144.2899932861328,145.75,140.87307739257812,1591000
2019-07-02,145.50999450683594,146.7100067138672,145.00999450683594,146.02000427246094,141.1340789794922,947100
2019-07-03,147.14999389648438,148.25,146.42999267578125,147.82000732421875,142.8738250732422,633700
2019-07-05,148.30999755859375,150.1300048828125,147.52999877929688,150.1199951171875,145.0968475341797,724200
2019-07-08,148.86000061035156,150.00999450683594,148.08999633789062,148.94000244140625,143.95635986328125,841200
2019-07-09,147.60000610351562,150.5,147.32000732421875,150.1999969482422,145.17417907714844,748300
2019-07-10,150.49000549316406,151.64999389648438,147.99000549316406,148.32000732421875,143.35711669921875,523800
2019-07-11,149.13999938964844,150.61000061035156,147.5800018310547,150.4199981689453,145.38681030273438,573500
2019-07-12,150.47000122070312,151.3300018310547,149.77999877929688,151.13999938964844,146.08273315429688,403400
2019-07-15,151.94000244140625,151.94000244140625,149.6699981689453,150.2899932861328,145.26116943359375,512500
2019-07-16,150.67999267578125,151.63999938964844,149.97000122070312,150.88999938964844,145.84109497070312,635700
2019-07-17,150.3800048828125,150.75999450683594,148.07000732421875,148.47000122070312,143.5020751953125,653300
2019-07-18,147.82000732421875,150.63999938964844,147.3800048828125,150.0800018310547,145.05819702148438,698000
2019-07-19,150.75999450683594,151.22999572753906,148.6300048828125,148.66000366210938,143.68572998046875,711300
2019-07-22,148.8000030517578,149.02999877929688,146.25999450683594,147.8300018310547,142.8834991455078,738400
2019-07-23,148.7100067138672,149.6199951171875,148.42999267578125,149.08999633789062,144.10133361816406,594800
2019-07-24,148.16000366210938,151.92999267578125,148.16000366210938,151.47000122070312,146.40170288085938,809700
2019-07-25,151.22999572753906,151.50999450683594,144.88999938964844,146.97000122070312,142.05226135253906,1549200
2019-07-26,147.67999267578125,150.3300018310547,146.22000122070312,149.92999267578125,144.91322326660156,1020300
2019-07-29,149.77999877929688,151.27999877929688,148.97999572753906,149.74000549316406,144.72958374023438,803000
2019-07-30,148.25999450683594,148.6999969482422,146.8800048828125,148.52999877929688,143.56007385253906,533500
2019-07-31,148.3800048828125,148.75999450683594,144.07000732421875,145.50999450683594,140.64111328125,795800
2019-08-01,144.8699951171875,145.60000610351562,139.7899932861328,140.55999755859375,135.85675048828125,1042200
2019-08-02,139.38999938964844,139.52999877929688,135.1300048828125,135.3000030517578,131.68148803710938,1948100
2019-08-05,132.91000366210938,133.55999755859375,129.42999267578125,130.4499969482422,126.961181640625,1728300
2019-08-06,132.55999755859375,133.64999389648438,130.22000122070312,133.27000427246094,129.7057647705078,1313300
2019-08-07,130.72000122070312,131.27000427246094,127.61000061035156,131.0500030517578,127.54515838623047,1395500
2019-08-08,131.8000030517578,135.0,131.67999267578125,134.94000244140625,131.3311309814453,1074500
2019-08-09,134.02000427246094,134.99000549316406,131.6999969482422,131.82000732421875,128.29457092285156,983200
2019-08-12,129.3000030517578,129.4499969482422,125.18000030517578,125.4800033569336,122.12411499023438,1636900
2019-08-13,125.18000030517578,129.7100067138672,125.1500015258789,128.72000122070312,125.27745056152344,2162700
2019-08-14,125.2300033569336,125.94999694824219,122.20999908447266,122.4000015258789,119.12649536132812,1534300
2019-08-15,123.5199966430664,124.5999984741211,121.56999969482422,122.75,119.46712493896484,1351100
2019-08-16,123.9800033569336,127.0,123.9800033569336,126.33999633789062,122.96110534667969,935700
2019-08-19,128.82000732421875,129.16000366210938,127.75,128.02999877929688,124.60591125488281,1051400
2019-08-20,126.91000366210938,127.97000122070312,124.80000305175781,126.3499984741211,122.97084045410156,698100
2019-08-21,128.0399932861328,128.67999267578125,127.22000122070312,127.94999694824219,124.5280532836914,760600
2019-08-22,128.99000549316406,129.52999877929688,127.5999984741211,128.5800018310547,125.14119720458984,729900
2019-08-23,127.41999816894531,129.1699981689453,123.81999969482422,124.48999786376953,121.16059112548828,1136200
2019-08-26,126.29000091552734,126.66000366210938,124.79000091552734,126.1500015258789,122.77619934082031,1272000
2019-08-27,127.20999908447266,127.58000183105469,124.0999984741211,125.23999786376953,121.8905258178711,1356500
2019-08-28,123.9800033569336,126.30999755859375,123.94999694824219,125.8499984741211,122.48422241210938,839500
2019-08-29,127.51000213623047,129.22999572753906,127.51000213623047,128.42999267578125,124.9952163696289,805000
2019-08-30,129.80999755859375,130.02999877929688,127.77999877929688,128.97999572753906,125.530517578125,668400
2019-09-03,127.30999755859375,128.74000549316406,125.86000061035156,127.19999694824219,123.79810333251953,1011000
2019-09-04,128.8800048828125,129.6199951171875,128.19000244140625,129.27000427246094,125.81275177001953,948800
2019-09-05,130.97999572753906,134.8699951171875,130.83999633789062,133.41000366210938,129.842041015625,1046600
2019-09-06,133.27000427246094,135.3000030517578,132.35000610351562,134.75,131.14620971679688,1060800
2019-09-09,136.39999389648438,138.8699951171875,135.63999938964844,137.8699951171875,134.1827392578125,1406300
2019-09-10,139.14999389648438,144.6300048828125,139.02999877929688,144.6300048828125,140.76194763183594,1937300
2019-09-11,144.66000366210938,145.74000549316406,142.1199951171875,145.57000732421875,141.67681884765625,1214300
2019-09-12,144.50999450683594,147.13999938964844,143.91000366210938,146.3800048828125,142.4651641845703,969700
2019-09-13,148.24000549316406,149.30999755859375,147.11000061035156,147.42999267578125,143.487060546875,1099600
2019-09-16,146.10000610351562,148.19000244140625,144.91000366210938,147.42999267578125,143.487060546875,1206200
2019-09-17,146.3800048828125,147.25,144.66000366210938,146.08999633789062,142.18289184570312,845100
2019-09-18,145.08999633789062,147.88999938964844,144.05999755859375,147.5399932861328,143.59413146972656,1239700
2019-09-19,147.33999633789062,149.52000427246094,146.82000732421875,147.2899932861328,143.350830078125,1220700
2019-09-20,147.55999755859375,148.60000610351562,145.30999755859375,145.77999877929688,141.88121032714844,1557400
2019-09-23,143.83999633789062,147.74000549316406,143.27000427246094,147.2899932861328,143.350830078125,1342000
2019-09-24,147.83999633789062,148.35000610351562,143.42999267578125,144.89999389648438,141.0247344970703,1230600
2019-09-25,144.4499969482422,145.88999938964844,143.07000732421875,145.47000122070312,141.57948303222656,825400
2019-09-26,145.1699981689453,146.9199981689453,144.6199951171875,146.1199951171875,142.2121124267578,635200
2019-09-27,147.6999969482422,148.41000366210938,146.8000030517578,147.5399932861328,143.59413146972656,906500
2019-09-30,148.5800018310547,148.5800018310547,146.25999450683594,147.10000610351562,143.16590881347656,924000
2019-10-01,147.83999633789062,147.83999633789062,139.91000366210938,140.74000549316406,136.9759979248047,1397300
2019-10-02,138.82000732421875,138.82000732421875,135.13999938964844,135.33999633789062,131.7204132080078,1054100
2019-10-03,134.39999389648438,135.42999267578125,131.2899932861328,135.1699981689453,131.55494689941406,1221500
2019-10-04,135.44000244140625,136.6199951171875,134.83999633789062,136.19000244140625,132.5476837158203,1040200
2019-10-07,135.1699981689453,136.52000427246094,134.69000244140625,134.72999572753906,131.12672424316406,727900
2019-10-08,132.05999755859375,132.3800048828125,129.00999450683594,129.2100067138672,125.7543716430664,1613300
2019-10-09,130.99000549316406,132.9199981689453,130.02999877929688,132.19000244140625,128.6546630859375,731400
2019-10-10,133.3300018310547,135.75999450683594,133.0800018310547,134.00999450683594,130.42596435546875,732700
2019-10-11,137.6699981689453,139.7899932861328,137.1300048828125,138.27000427246094,134.5720672607422,903700
2019-10-14,137.19000244140625,138.99000549316406,136.82000732421875,138.82000732421875,135.10736083984375,532900
2019-10-15,139.50999450683594,141.8300018310547,138.5,140.22000122070312,136.46990966796875,844900
2019-10-16,139.75,141.25999450683594,139.6300048828125,139.77000427246094,136.0319366455078,564700
2019-10-17,140.97000122070312,142.17999267578125,140.42999267578125,140.49000549316406,136.732666015625,663200
2019-10-18,139.8699951171875,142.63999938964844,139.8699951171875,142.0,138.20228576660156,721800
2019-10-21,143.77000427246094,145.3000030517578,143.55999755859375,144.3000030517578,140.44078063964844,548000
2019-10-22,144.11000061035156,144.99000549316406,142.2899932861328,142.4499969482422,138.6402587890625,931700
2019-10-23,141.99000549316406,144.52000427246094,141.99000549316406,143.47000122070312,139.6329803466797,789300
2019-10-24,150.47999572753906,152.5,147.22999572753906,149.6300048828125,145.6282501220703,1254300
2019-10-25,149.61000061035156,150.0399932861328,147.00999450683594,149.4499969482422,145.4530487060547,624000
2019-10-28,150.8800048828125,153.2899932861328,150.6999969482422,152.80999755859375,148.72317504882812,777700
2019-10-29,151.60000610351562,154.50999450683594,150.0,153.6999969482422,149.58938598632812,639100
2019-10-30,152.6699981689453,152.75,150.1199951171875,152.0,147.93484497070312,876600
